Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535346,Plav,330,265,263,"12,54","0,00","0,00","4,56","0,38","4,18","6,84","2,66","0,76","2,66","0,76","0,00","15,96","0,00","7,22","23,95","0,00","0,00","3,42","0,38","0,38","0,00","0,00","12,92","0,38"
544965,Radošovice,145,88,88,"9,09","0,00","0,00","9,09","0,00","9,09","6,81","2,27","1,13","0,00","0,00","0,00","10,22","0,00","2,27","31,81","0,00","0,00","10,22","0,00","0,00","0,00","1,13","6,81","0,00"
544973,Roudné,922,671,667,"18,44","0,00","0,00","6,89","0,14","6,29","3,74","0,89","0,29","3,14","0,14","0,44","8,99","0,14","7,64","27,43","0,14","0,00","3,89","0,14","0,74","1,04","0,59","8,09","0,59"
544981,Rudolfov,2 049,1 399,1 395,"16,34","0,14","0,00","5,59","0,00","5,23","6,16","1,29","0,64","2,50","0,14","0,14","9,17","0,00","6,02","28,96","0,28","0,07","5,16","0,21","1,00","0,07","0,35","10,10","0,35"
545007,Římov,694,471,469,"21,74","0,21","0,21","6,60","0,00","4,90","9,38","2,13","1,06","1,70","0,00","0,63","12,15","0,21","3,83","20,25","0,00","0,00","6,39","0,00","0,85","0,00","0,00","6,82","0,85"
545015,Sedlec,399,281,278,"9,35","0,35","0,35","8,63","0,00","9,35","7,55","1,43","0,71","1,79","0,00","0,00","12,23","0,00","2,87","32,01","0,00","0,00","7,55","0,00","0,35","0,00","0,35","5,03","0,00"
545023,Slavče,537,303,301,"7,97","0,00","0,00","3,65","0,33","3,65","18,27","1,32","2,65","1,32","0,00","0,00","7,97","0,00","3,32","33,55","0,00","0,00","5,98","0,00","0,99","0,00","0,00","8,97","0,00"
545066,Srubec,1 877,1 346,1 345,"17,39","0,14","0,00","5,13","0,14","8,32","4,16","1,11","0,29","1,78","0,00","0,07","11,00","0,00","7,50","28,17","0,14","0,00","5,27","0,07","1,41","0,22","0,14","7,28","0,14"
545074,Staré Hodějovice,955,670,667,"16,04","0,14","0,00","4,64","0,00","7,94","7,04","0,89","0,14","2,54","0,00","0,29","9,74","0,00","9,44","23,23","0,44","0,44","2,84","0,00","1,64","0,00","0,59","11,84","0,00"
545082,Strážkovice,395,271,270,"16,66","0,37","0,00","4,81","0,00","3,33","8,88","1,11","1,11","2,22","0,00","0,00","11,11","0,37","2,96","31,85","0,37","1,48","2,22","0,00","1,48","0,74","0,37","8,51","0,00"
536032,Strýčice,52,38,38,"5,26","0,00","0,00","5,26","2,63","7,89","5,26","0,00","5,26","0,00","0,00","0,00","5,26","0,00","0,00","50,00","0,00","0,00","5,26","0,00","5,26","0,00","0,00","2,63","0,00"
545091,Střížov,180,117,116,"20,68","0,00","0,00","5,17","0,00","7,75","3,44","3,44","0,00","3,44","0,00","0,00","8,62","0,00","5,17","25,86","0,00","0,00","2,58","0,00","0,86","0,00","0,00","12,93","0,00"
545104,Svatý Jan nad Malší,439,288,286,"14,33","0,00","0,00","3,84","0,69","2,44","8,39","1,04","1,04","1,39","0,00","0,69","10,13","0,00","2,44","36,71","0,00","0,00","4,19","0,34","1,39","0,69","0,00","9,09","1,04"
545121,Ševětín,1 099,718,714,"11,20","0,28","0,14","5,74","0,00","6,02","9,24","1,96","0,98","0,56","0,00","0,70","9,24","0,00","4,76","33,05","0,28","0,00","6,02","0,14","0,70","0,00","0,14","8,68","0,14"
545139,Štěpánovice,685,436,435,"9,88","0,22","0,00","4,82","0,00","10,34","7,35","0,91","0,00","0,68","0,22","0,22","8,27","0,22","0,91","30,80","0,00","0,22","7,12","0,22","0,45","0,00","0,00","16,78","0,22"
545155,Temelín,703,424,422,"8,05","0,00","0,00","9,71","0,47","5,21","12,08","1,42","0,71","1,65","0,00","0,47","9,47","0,00","2,60","27,48","0,47","0,47","3,55","0,00","0,71","0,23","0,47","14,45","0,23"
545171,Trhové Sviny,4 082,2 501,2 474,"9,05","0,20","0,00","5,65","0,20","3,19","11,27","1,09","0,76","1,85","0,16","0,08","10,22","0,04","3,07","32,98","0,00","0,08","5,61","0,04","1,37","0,16","0,28","12,48","0,08"
545201,Týn nad Vltavou,6 491,3 892,3 861,"10,85","0,10","0,00","6,88","0,15","2,61","9,22","1,39","0,93","3,39","0,02","0,15","14,01","0,02","4,14","27,16","0,05","0,15","5,15","0,02","1,26","0,10","0,46","11,29","0,38"
535494,Úsilné,374,258,256,"19,14","0,00","0,00","4,68","0,00","8,98","4,29","0,39","0,78","2,73","0,00","0,78","8,98","0,00","4,29","27,34","0,00","1,17","4,29","0,00","0,78","0,00","0,00","11,32","0,00"
545228,Včelná,1 593,1 082,1 077,"18,10","0,09","0,09","4,17","0,00","5,10","5,94","2,13","0,74","2,22","0,00","0,09","9,37","0,09","7,05","26,55","0,00","0,00","4,92","0,00","1,67","0,64","0,18","10,58","0,18"
535737,Vidov,442,333,329,"12,76","0,00","0,00","3,34","0,00","7,90","4,55","0,91","0,30","3,95","0,00","0,30","12,76","0,30","6,38","29,48","0,00","0,00","3,64","0,00","2,12","0,00","0,00","10,63","0,60"
535893,Vitín,339,229,225,"9,33","0,00","0,00","11,55","0,00","4,00","6,66","1,77","0,44","3,11","0,00","0,00","6,66","0,00","4,44","30,22","0,00","0,00","5,77","0,44","6,22","0,00","0,00","8,88","0,44"
535915,Vlkov,33,24,24,"4,16","0,00","8,33","0,00","0,00","8,33","4,16","8,33","4,16","0,00","0,00","0,00","20,83","0,00","0,00","20,83","0,00","0,00","8,33","0,00","0,00","0,00","0,00","12,50","0,00"
545261,Vrábče,593,390,383,"15,40","0,26","0,00","4,17","0,00","4,96","5,48","2,61","0,26","1,56","0,00","0,00","11,48","0,00","8,87","24,80","0,00","0,00","9,13","0,00","0,78","0,26","0,52","9,39","0,00"
535796,Vráto,312,219,218,"20,18","0,00","0,45","4,12","0,91","5,96","6,88","1,37","0,91","3,66","0,00","2,29","10,09","0,45","2,75","28,89","0,00","0,91","2,75","0,00","0,91","0,00","0,00","6,42","0,00"
545287,Všemyslice,879,583,582,"15,97","0,00","0,34","5,15","0,00","4,29","7,90","0,51","0,51","0,85","0,34","0,34","13,05","0,17","2,92","31,09","0,00","0,34","4,12","0,00","1,03","0,00","0,68","10,13","0,17"
545317,Záboří,289,161,160,"10,62","0,00","0,00","13,12","0,00","9,37","10,00","0,62","0,62","1,87","0,00","0,00","6,87","0,00","3,75","22,50","0,00","1,87","3,75","0,00","0,00","0,00","0,62","13,12","1,25"
536016,Zahájí,371,253,252,"8,73","0,79","0,00","7,14","0,00","7,93","11,90","1,19","0,39","1,19","0,00","0,39","4,76","0,00","4,36","37,30","0,00","0,00","4,76","0,00","0,79","0,00","0,79","7,53","0,00"
599778,Závraty,33,25,25,"16,00","0,00","0,00","4,00","0,00","12,00","0,00","0,00","0,00","8,00","0,00","0,00","0,00","0,00","0,00","16,00","0,00","0,00","20,00","0,00","0,00","0,00","0,00","24,00","0,00"
545341,Zliv,2 941,1 846,1 831,"10,26","0,21","0,00","6,28","0,16","5,84","9,22","1,03","0,32","1,47","0,16","0,27","8,57","0,05","4,53","33,75","0,05","0,00","3,44","0,05","1,52","0,10","0,10","12,23","0,27"
535591,Zvíkov,215,168,168,"11,30","0,00","0,00","6,54","0,00","7,14","11,90","0,59","2,97","1,78","0,00","0,00","8,92","0,00","3,57","18,45","0,59","0,00","6,54","0,00","1,78","0,00","0,00","17,85","0,00"
545368,Žabovřesky,336,208,206,"9,70","0,00","0,48","6,31","0,00","7,76","7,76","0,00","0,48","0,00","0,00","0,48","16,01","0,00","0,97","33,98","0,00","0,00","4,36","0,00","0,48","0,48","0,00","10,67","0,00"
545376,Žár,284,139,139,"6,47","0,71","0,00","2,87","0,00","1,43","19,42","0,71","2,15","0,71","0,71","0,00","12,23","0,00","2,87","35,97","0,00","0,00","2,15","0,00","2,87","0,00","0,00","7,91","0,71"
545384,Žimutice,518,326,323,"10,83","0,92","0,00","11,76","0,30","2,78","7,73","0,61","0,61","0,30","0,00","0,00","8,35","0,00","2,16","31,88","0,00","0,30","6,81","0,00","2,78","0,61","0,92","9,28","0,92"
